Producto;Fecha;Ingreso;Egreso;Precio Venta;Monto Venta;Stock
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;;;;;;300
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-07-16;0,00;4,00;1.800,00;7.200,00;296
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-07-16;0,00;10,00;1.440,00;14.400,00;286
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-07-22;0,00;4,00;1.440,00;5.760,00;282
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-08-29;0,00;20,00;1.900,00;38.000,00;262
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-09-01;0,00;5,00;1.900,00;9.500,00;257
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-09-01;0,00;10,00;1.520,00;15.200,00;247
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-09-15;0,00;1,00;2.000,00;2.000,00;246
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-09-15;0,00;5,00;1.400,00;7.000,00;241
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-09-22;0,00;1,00;2.000,00;2.000,00;240
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-09-25;0,00;10,00;1.520,00;15.200,00;230
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-10-13;0,00;10,00;1.600,00;16.000,00;220
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-10-14;0,00;1,00;1.900,00;1.900,00;219
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-10-20;0,00;1,00;1.600,00;1.600,00;218
Trafo 12v 1a - (modificado) Negativo en centro;;;;;;677
Trafo 12v 1a - (modificado) Negativo en centro;2025-09-15;0,00;1,00;1.800,00;1.800,00;676
Trafo 12v 1a - (modificado) Negativo en centro;2025-09-15;0,00;5,00;1.260,00;6.300,00;671
Trafo 12v 1a - (modificado) Negativo en centro;2025-09-25;0,00;10,00;1.440,00;14.400,00;661
Trafo 12v 1a - (modificado) Negativo en centro;2025-10-13;0,00;10,00;1.440,00;14.400,00;651
Mouse Optico OnePlus G5059;;;;;;495
Mouse Optico OnePlus G5059;2025-07-01;0,00;3,00;2.588,80;7.766,40;492
Mouse Optico OnePlus G5059;2025-07-03;0,00;50,00;2.620,80;131.040,00;442
Mouse Optico OnePlus G5059;2025-07-10;0,00;10,00;2.737,60;27.376,00;432
Mouse Optico OnePlus G5059;2025-07-16;0,00;3,00;2.917,20;8.751,60;429
Mouse Optico OnePlus G5059;2025-07-21;0,00;8,00;2.895,10;23.160,80;421
Mouse Optico OnePlus G5059;2025-07-31;0,00;3,00;0,01;0,03;418
Mouse Optico OnePlus G5059;2025-08-04;0,00;3,00;2.864,80;8.594,40;415
Mouse Optico OnePlus G5059;2025-08-20;0,00;1,00;0,01;0,01;414
Mouse Optico OnePlus G5059;2025-09-11;0,00;5,00;2.511,20;12.556,00;409
Mouse Optico OnePlus G5059;2025-09-17;0,00;4,00;2.761,40;11.045,58;405
Mouse Optico OnePlus G5059;2025-09-24;0,00;5,00;2.667,47;13.337,35;400
Mouse Optico OnePlus G5059;2025-10-06;0,00;1,00;2.723,83;2.723,83;399
Mouse Optico OnePlus G5059;2025-10-06;0,00;19,00;0,00;0,00;380
Mouse Optico OnePlus G5059;2025-10-09;0,00;1,00;0,01;0,01;379
Mouse Optico OnePlus G5059;2025-10-13;0,00;1,00;2.780,18;2.780,18;378
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-12;276,00;0,00;0,00;0,00;276
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-15;0,00;3,00;4.004,00;12.012,00;273
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-15;0,00;2,00;3.203,20;6.406,40;271
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-15;0,00;2,00;3.203,20;6.406,40;269
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-16;0,00;5,00;3.224,80;16.124,00;264
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-17;0,00;5,00;4.031,00;20.155,00;259
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-17;0,00;10,00;4.031,00;40.310,00;249
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-18;0,00;10,00;4.031,00;40.310,00;239
